nct_id,intervention_type,intervention_name
NCT06185972,DEVICE,Sonalleve Focused Ultrasound Device
NCT06489158,DIAGNOSTIC_TEST,Detect VOCs in exhaled gas
NCT07281833,DRUG,Capivasertib
NCT05524584,DRUG,Fulvestrant
NCT05524584,DRUG,Anastrozole
NCT05524584,DRUG,Abemaciclib
NCT07739121,OTHER,Multidisciplinary tumour boards
NCT07739121,OTHER,Frontier large language models
NCT05964504,PROCEDURE,Blood Specimen
NCT06464536,OTHER,Compression
NCT06371274,DRUG,ATRA
NCT06371274,DRUG,Toripalimab
NCT05406635,DIAGNOSTIC_TEST,Biomarkers: Troponins and natriuretic peptides
NCT04731025,DRUG,"Gentamicin, Cefazolin and Vancomycin"
NCT04731025,OTHER,Placebo
NCT06227117,DRUG,Disitamab Vedotin Injection （18 weeks）
NCT06227117,DRUG,Toripalimab （18weeks）
NCT06227117,DRUG,Carboplatin
NCT06227117,DRUG,Disitamab Vedotin Injection （12 weeks）
NCT06227117,DRUG,Sequential Epirubicin
NCT06227117,DRUG,Sequential CTX
NCT06227117,DRUG,Toripalimab （12weeks）
NCT07675967,OTHER,Samples
NCT07702292,DRUG,[68Ga]BED003
NCT06455904,PROCEDURE,Training sessions
NCT07233928,OTHER,Tumor biopsy
NCT05787834,OTHER,Best Practice
NCT05787834,OTHER,Medical Device Usage and Evaluation
NCT05787834,PROCEDURE,Respiratory Muscle Training
NCT05787834,OTHER,Survey Administration
NCT05902507,DIAGNOSTIC_TEST,Magnetic Resonance Imaging Simulation
NCT06810804,DRUG,NBQ72S
NCT06994507,DRUG,GM1
NCT06994507,DRUG,Placebo
NCT05939830,PROCEDURE,Stained region Lymph Node Biopsy (SrLNB)
NCT05939830,RADIATION,Regional lymph node radiotherapy (RNI) including the axilla
NCT03954431,DIAGNOSTIC_TEST,Dedicated breast CT(BCT)
NCT05824975,DRUG,GI-102 subcutaneous (SC)
NCT05824975,DRUG,GI-102
NCT05824975,DRUG,doxorubicin
NCT05824975,DRUG,paclitaxel
NCT05824975,DRUG,bevacizumab
NCT05824975,DRUG,eribulin
NCT05824975,DRUG,trastuzumab deruxtecan (T-DXd)
NCT05824975,DRUG,pembrolizumab
NCT04261244,RADIATION,preoperative radiotherapy
NCT04261244,RADIATION,postoperative radiotherapy
NCT06518837,DRUG,Tirzepatide
NCT06387628,DRUG,LM-108
NCT06387628,DRUG,Toripalimab
NCT06387628,DRUG,Eribulin
NCT06387628,DRUG,Nab paclitaxel
NCT06094257,DIAGNOSTIC_TEST,Sensory testing
NCT06606730,DRUG,Pembrolizumab
NCT06606730,OTHER,Deescalation
NCT06966700,BIOLOGICAL,Sacituzumab tirumotecan
NCT06966700,BIOLOGICAL,Pembrolizumab
NCT06966700,DRUG,Rescue Medication
NCT06966700,DRUG,Carboplatin
NCT06966700,DRUG,Paclitaxel
NCT06966700,DRUG,Doxorubicin
NCT06966700,DRUG,Epirubicin
NCT06966700,DRUG,Cyclophosphamide
NCT06966700,DRUG,Capecitabine
NCT06966700,DRUG,Olaparib
NCT06378944,OTHER,Application of green indocyanine colorant
NCT06378944,DRUG,Technetium99
NCT05504707,BIOLOGICAL,HER2 - primed Dendritic cells
NCT05504707,BIOLOGICAL,HER3 - primed Dendritic cells
NCT07180264,DRUG,Trastuzumab deruxtecan
NCT05748834,DRUG,Tucatinib
NCT05748834,DRUG,Doxil
NCT03053193,DIAGNOSTIC_TEST,"MammaPrint, BluePrint, and Full-Genome Testing"
NCT06943521,DRUG,MT-4561
NCT06837792,DRUG,Experimental treatment arm
NCT06837792,DRUG,Control treatment arm
NCT04965064,DRUG,Capecitabine and Neratinib.
NCT06401421,DIAGNOSTIC_TEST,ctDNA MRD test
NCT06938399,DEVICE,Silicone gel-filled breast implants - Motiva Implants®
NCT06938399,OTHER,Aesthetic Surgery
NCT06529614,OTHER,In-situ detection for Micro-RNA
NCT04703244,PROCEDURE,chemotherapy or endocrine therapy for breast cancer
NCT05981014,PROCEDURE,Sentinel Lymph Node Biopsy (SLNB)
NCT05981014,DRUG,Doxorubicin
NCT05981014,DRUG,Epirubicin
NCT05981014,DRUG,Cyclophosphamide
NCT05981014,DRUG,Fludarabine
NCT05981014,BIOLOGICAL,Tumor-draining lymph node-derived lymphocyte (LNL)
NCT05981014,BIOLOGICAL,Interleukin-2
